Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Siedlungsdichte in km²;Studierende je 100 Einwohner 18 bis 25 Jahre;Gesamtwanderungssaldo;Haushalte mit hohem Einkommen;Erreichbarkeit von Oberzentren;Bevölkerung gesamt
"010615189";"Kellinghusen";"Gemeindeverband";"44.08";"1034.66";"0.00";"0.80";"20.01";"28.45";"22376"
"010620001";"Ahrensburg. Stadt";"verbandsfreie Gemeinde";"45.55";"2468.97";"0.00";"4.69";"28.18";"28.09";"31361"
"010620004";"Bad Oldesloe. Stadt";"verbandsfreie Gemeinde";"42.99";"2206.97";"0.00";"4.66";"21.70";"20.73";"24477"
"010620006";"Bargteheide. Stadt";"verbandsfreie Gemeinde";"42.89";"2569.27";"0.00";"17.16";"25.03";"27.50";"15788"
"010620009";"Barsbüttel";"verbandsfreie Gemeinde";"45.88";"1814.14";"0.00";"3.14";"38.72";"16.68";"12092"
"010620018";"Glinde. Stadt";"verbandsfreie Gemeinde";"44.06";"3010.67";"0.00";"11.83";"26.61";"21.14";"17922"
"010620023";"Großhansdorf";"verbandsfreie Gemeinde";"47.67";"2239.43";"0.00";"14.35";"42.75";"24.86";"9336"
"010620053";"Oststeinbek";"verbandsfreie Gemeinde";"46.99";"2496.07";"0.00";"16.45";"38.26";"15.93";"8752"
"010620060";"Reinbek. Stadt";"verbandsfreie Gemeinde";"46.25";"2586.58";"0.00";"7.54";"31.75";"24.75";"26514"
"010620061";"Reinfeld (Holstein). Stadt";"verbandsfreie Gemeinde";"44.13";"2085.22";"20.82";"9.60";"23.64";"15.21";"8752"
"010620076";"Tangstedt";"verbandsfreie Gemeinde";"45.33";"1447.53";"0.00";"9.01";"40.91";"38.35";"6323"
"010620090";"Ammersbek";"verbandsfreie Gemeinde";"45.26";"2002.05";"0.00";"-3.40";"35.84";"28.97";"9704"
"010625207";"Bad Oldesloe-Land";"Gemeindeverband";"42.80";"1063.07";"0.00";"1.91";"25.48";"23.06";"10984"
"010625218";"Bargteheide-Land";"Gemeindeverband";"41.68";"1303.05";"0.00";"2.77";"29.35";"28.63";"14104"
"010625244";"Nordstormarn";"Gemeindeverband";"41.61";"942.25";"0.00";"-0.76";"24.11";"15.98";"10487"
"010625262";"Siek";"Gemeindeverband";"44.09";"1023.13";"0.00";"17.21";"39.00";"23.20";"10166"
"010625270";"Trittau";"Gemeindeverband";"44.64";"1290.55";"0.00";"23.84";"30.54";"27.80";"17912"
"020000000";"Hamburg. Freie und Hansestadt";"verbandsfreie Gemeinde";"41.98";"4069.77";"70.00";"6.85";"16.75";"0.00";"1746342"
"031010000";"Braunschweig. Stadt";"verbandsfreie Gemeinde";"43.16";"2749.52";"94.84";"7.98";"16.23";"0.00";"247227"
"031020000";"Salzgitter. Stadt";"verbandsfreie Gemeinde";"45.13";"1623.87";"29.40";"6.31";"16.29";"0.00";"98197"
"031030000";"Wolfsburg. Stadt";"verbandsfreie Gemeinde";"44.14";"1948.56";"35.84";"8.31";"19.60";"0.00";"122457"
"031510009";"Gifhorn. Stadt";"verbandsfreie Gemeinde";"43.69";"1685.48";"0.00";"7.51";"22.46";"22.94";"41518"
"031510025";"Sassenburg";"verbandsfreie Gemeinde";"40.54";"1020.44";"0.00";"8.67";"23.82";"17.91";"11068"
"031510040";"Wittingen. Stadt";"verbandsfreie Gemeinde";"44.96";"585.30";"0.00";"-3.07";"19.56";"40.64";"11410"
"031515401";"Boldecker Land";"Gemeindeverband";"43.75";"1092.72";"0.00";"5.08";"34.31";"12.44";"9640"
