Kennziffer,Raumeinheit,Aggregat,Gästeübernachtungen in Beherbergungsbetrieben 2013,Kinos 2017,Öffentliche Bäder 2017
14729,Leipzig,Kreise,3.1,2.0,28.0
14730,Nordsachsen,Kreise,3.8,1.0,21.0
15001,"Dessau-Roßlau, Stadt",Kreise,2.2,2.0,12.0
15002,"Halle (Saale), Stadt",Kreise,1.5,6.0,10.0
15003,"Magdeburg, Landeshauptstadt",Kreise,2.3,7.0,10.0
15081,Altmarkkreis Salzwedel,Kreise,3.9,1.0,14.0
15082,Anhalt-Bitterfeld,Kreise,1.2,1.0,11.0
15083,Börde,Kreise,2.4,0.0,23.0
15084,Burgenlandkreis,Kreise,3.4,2.0,15.0
15085,Harz,Kreise,11.2,3.0,36.0
15086,Jerichower Land,Kreise,1.5,2.0,12.0
15087,Mansfeld-Südharz,Kreise,2.2,1.0,24.0
15088,Saalekreis,Kreise,2.0,2.0,14.0
15089,Salzlandkreis,Kreise,1.8,2.0,30.0
15090,Stendal,Kreise,1.8,1.0,22.0
15091,Wittenberg,Kreise,4.6,0.0,15.0
16051,"Erfurt, Stadt",Kreise,3.7,3.0,10.0
16052,"Gera, Stadt",Kreise,1.8,3.0,3.0
16053,"Jena, Stadt",Kreise,2.8,3.0,4.0
16054,"Suhl, Stadt",Kreise,7.0,1.0,3.0
16055,"Weimar, Stadt",Kreise,10.4,4.0,4.0
16061,Eichsfeld,Kreise,3.6,2.0,13.0
16062,Nordhausen,Kreise,2.0,2.0,14.0
16063,Wartburgkreis,Kreise,6.5,2.0,24.0
16064,Unstrut-Hainich-Kreis,Kreise,3.7,2.0,9.0
16065,Kyffhäuserkreis,Kreise,3.8,2.0,15.0
16066,Schmalkalden-Meiningen,Kreise,5.6,0.0,17.0
16067,Gotha,Kreise,6.6,4.0,17.0
16068,Sömmerda,Kreise,1.2,0.0,9.0
16069,Hildburghausen,Kreise,6.0,1.0,12.0
16070,Ilm-Kreis,Kreise,3.6,1.0,14.0
16071,Weimarer Land,Kreise,7.0,0.0,12.0
16072,Sonneberg,Kreise,3.1,0.0,10.0
16073,Saalfeld-Rudolstadt,Kreise,3.9,3.0,18.0
16074,Saale-Holzland-Kreis,Kreise,4.3,1.0,8.0
16075,Saale-Orla-Kreis,Kreise,4.0,2.0,13.0
16076,Greiz,Kreise,1.2,1.0,14.0
16077,Altenburger Land,Kreise,1.6,1.0,11.0
